[prt-host-watchdog] started at 2026-05-08T14:07:20Z
[prt-host-watchdog] runtime_config=/home/ubuntu/chipyard/sims/firesim/deploy/config_runtime_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_linux_bertmini_pipeline_runtime_batch8_fileonly_sync_gdbserver_cfg32_nic_notrace.yaml
[prt-host-watchdog] idle_timeout_seconds=7200 live_idle_timeout_seconds=14400 poll_seconds=30
[prt-host-watchdog] ssh_connect_timeout_seconds=10 probe_timeout_seconds=20 capture_timeout_seconds=180
[prt-host-watchdog] heartbeat_liveness_enable=1
[prt-host-watchdog] arm_on_guest_status_nonzero=1
[prt-host-watchdog] monitoring instance=i-05f77b48d7369dab4 private_ip=192.168.1.177
[prt-host-watchdog] guest-status arm observed at 2026-05-08T14:14:39Z hb='Target Cycle (fastest), Seconds Since Start' guest_status=1678
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=407s hb_idle=501s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=0 guest_runner_post=363 guest_runner_early=0 guest_binary=0 guest_runner_proc=0
[prt-host-watchdog] progress hb='18102140819, 958' uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=0s hb_idle=0s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=32s hb_idle=32s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=63s hb_idle=63s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=94s hb_idle=94s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=125s hb_idle=125s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=157s hb_idle=157s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=188s hb_idle=188s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=219s hb_idle=219s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=251s hb_idle=251s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=282s hb_idle=282s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=313s hb_idle=313s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=344s hb_idle=344s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=376s hb_idle=376s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
[prt-host-watchdog] hb='18102140819, 958' idle=407s hb_idle=407s uart=20788 guest_log=0 guest_sparse=0 guest_checkpoint=0 guest_trigger=0 guest_status=1678 guest_proc=0 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13467
